,symbol,concept,contexts,types,label
288,johnnyCanuck,canada,generalOrUnknown,Simulation,Canada
289,nationalColoursOfCanada,canada,generalOrUnknown,Simulation,Canada
290,snowbirds,canada,generalOrUnknown,Simulation,Canada
291,regionalTartansOfCanada,canada,generalOrUnknown,Simulation,Canada
292,royalCanadianMountedPolice,canada,generalOrUnknown,Simulation,Canada
293,viveLaCanadienne,canada,generalOrUnknown,Simulation,Canada
294,beaver,canada,generalOrUnknown,EmblematicSimulation,Canada
295,acerSaccharum,canada,generalOrUnknown,Simulation,Canada
296,flagOfCarillon,canada,generalOrUnknown,Simulation,Canada
297,northAmericanBeaver,canada,generalOrUnknown,Simulation,Canada
298,stEdwardSCrown,canada,generalOrUnknown,Simulation,Canada
299,historicalFlagsOfTheBritishEmpireAndTheOverseasTerritories,canada,generalOrUnknown,Simulation,Canada
300,mapleLeaf,canada,generalOrUnknown,EmblematicSimulation @ Simulation,Canada
301,canadianEskimoDog,nunavut,generalOrUnknown,Simulation,Nunavut
302,coatOfArmsOfNunavut,nunavut,generalOrUnknown,Simulation,Nunavut
303,flagOfNunavut,nunavut,generalOrUnknown,Simulation,Nunavut
304,inuksuk,nunavut,generalOrUnknown,Simulation,Nunavut
305,saxifragaOppositifolia,nunavut,generalOrUnknown,Simulation,Nunavut
306,canary,idleChatter,generalOrUnknown,Simulation,idle chatter
307,duck,idleChatter,generalOrUnknown,Simulation,idle chatter
308,hen,idleChatter,generalOrUnknown,Simulation,idle chatter
309,magpie,idleChatter,grecoRoman,Simulation,idle chatter
310,canaryGrass,perseverance,flowerLanguage,Simulation,perseverance
311,rooster,perseverance,heraldic,Simulation,perseverance
312,carp,perseverance,chinese @ generalOrUnknown @ japanese,Simulation,perseverance
313,ibis,perseverance,egyptian @ generalOrUnknown,Simulation,perseverance
314,horse,perseverance,chinese,Simulation,perseverance
315,beaver,perseverance,heraldic,Simulation,perseverance
316,bulldog,perseverance,generalOrUnknown,Simulation,perseverance
317,boxwood,perseverance,generalOrUnknown,Simulation,perseverance
318,camel,perseverance,heraldic,Simulation,perseverance
319,henOnItsNest,perseverance,generalOrUnknown,Simulation,perseverance
320,groundLaurel,perseverance,flowerLanguage,Simulation,perseverance
321,magnolia,perseverance,generalOrUnknown @ heraldic,Simulation,perseverance
322,odysseusUlysses,perseverance,grecoRoman,Simulation,perseverance
323,saturnPlanet,perseverance,generalOrUnknown @ kabalistic,AssociationSimulation,perseverance
324,snail,perseverance,heraldic,Simulation,perseverance
325,scotland,perseverance,generalOrUnknown,AssociationSimulation,perseverance
326,swampMagnolia,perseverance,flowerLanguage,Simulation,perseverance
327,glowWorm,perseverance,chinese,Simulation,perseverance
328,willow,perseverance,heraldic @ japanese,Simulation,perseverance
329,job,perseverance,jewish,Simulation,perseverance
330,shark,perseverance,generalOrUnknown,Simulation,perseverance
331,canciNAlNueveDeOctubre,ecuador,generalOrUnknown,Simulation,Ecuador
332,coatOfArmsOfEcuador,ecuador,generalOrUnknown,Simulation,Ecuador
333,flagOfEcuador,ecuador,generalOrUnknown,Simulation,Ecuador
334,salveOhPatria,ecuador,generalOrUnknown,Simulation,Ecuador
335,andeanCondor,ecuador,generalOrUnknown,Simulation,Ecuador
336,canciNNacionalChilena,chile,generalOrUnknown,Simulation,Chile
337,coatOfArmsOfChile,chile,generalOrUnknown,Simulation,Chile
338,chileanRodeo,chile,generalOrUnknown,Simulation,Chile
339,flagOfChile,chile,generalOrUnknown,Simulation,Chile
340,lapageria,chile,generalOrUnknown,Simulation,Chile
341,nationalAnthemOfChile,chile,generalOrUnknown,Simulation,Chile
342,southAndeanDeer,chile,generalOrUnknown,Simulation,Chile
343,andeanCondor,chile,generalOrUnknown,Simulation,Chile
344,candy,sixthWeddingAnniversaries,generalOrUnknown,AssociationSimulation,sixth wedding anniversaries
345,candytuft,indifference,generalOrUnknown,Simulation,indifference
346,agnusCastus,indifference,flowerLanguage,Simulation,indifference
347,gray,indifference,generalOrUnknown,Simulation,indifference
348,pigeonBerry,indifference,flowerLanguage,Simulation,indifference
349,senvy,indifference,flowerLanguage,Simulation,indifference
350,chasteTree,indifference,flowerLanguage,Simulation,indifference
351,mustardPlant,indifference,generalOrUnknown,Simulation,indifference
352,poppy,indifference,christian @ generalOrUnknown,Simulation,indifference
353,spitting,indifference,generalOrUnknown,Simulation,indifference
