symbol,concept,contexts,types
argentineNationalAnthem,argentina,generalOrUnknown,Simulation
argentineWine,argentina,generalOrUnknown,Simulation
arirang,korea,generalOrUnknown,Simulation
ariseOCompatriots,nigeria,generalOrUnknown,Simulation
aristotle,logicPersonified,generalOrUnknown,Simulation
arizonaTreeFrog,arizona,generalOrUnknown,Simulation
arkansasSong,arkansas,generalOrUnknown,Simulation
arkansasYouRunDeepInMe,arkansas,generalOrUnknown,Simulation
armageddon,theConflictOfGoodAndEvilWithinTheSelf,christian @ jewish,Simulation
armAndHammer,communism,generalOrUnknown,Simulation
armenianCross,armenia,generalOrUnknown,Simulation
armenianEternitySign,armenia,generalOrUnknown,Simulation
armorialOfGibraltar,gibraltar,generalOrUnknown,Simulation
armorialOfGovernorsGeneralAndPresidentsOfSouthAfrica,southAfrica,generalOrUnknown,Simulation
armorialOfIndonesia,indonesia,generalOrUnknown,Simulation
armorialOfUkraine,ukraine,generalOrUnknown,Simulation
armorialOfVenezuela,venezuela,generalOrUnknown,Simulation
armour,athena,greek,Simulation
aM,mayAlsoStandForAveMariaLatinForHailMary,christian,Simulation
aM,standsForAuspiceMariaLatinForUnderTheProtectionOfMary,christian,Simulation
aMGPDT,standsForAveMariaGratiaPlenaDominusTecumTheFirstWordsOfTheHailMaryPrayerInLatin,christian,Simulation
ammit,destructionOfTheSoul,egyptian,Simulation
ammit,judgmentOfTheDead,egyptian,Simulation
ammit,retribution,egyptian,Simulation
almsBowl,buddhism,buddhist,EmblematicSimulation
almsBowl,charity,generalOrUnknown,Simulation
almsBowl,poverty,generalOrUnknown,Simulation
almsBowl,renunciation,generalOrUnknown,Simulation
aM,theVirginMary,christian,AttributeSimulation
aMGPDT,theAnnunciation,christian,AssociationSimulation
armsOfSkanderbeg,albania,generalOrUnknown,Simulation
arnis,thePhilippines,generalOrUnknown,Simulation
arnoldBenedict,traitor,american,Simulation
arpaPairiKeDhar,chhattisgarh,generalOrUnknown,Simulation
arraneAshoonaghVannin,theIsleOfMan,generalOrUnknown,Simulation
artemisiaWifeOfMausolus,aWidowSDevotionToHerHusbandSMemory,greek,Simulation
artery,channelOfTruthFromAHigherNatureToALowerOne,generalOrUnknown,Simulation
